ADS "Adidas"
ADD "ADAVALE RESOURCES LTD"
TTO "TTL BETEILIGUNGS UND GRUNDBE"
WEW "WESTWING GROUP AG"
A7A "FINLAB AG"
A8A "JDC GROUP AG"
VSC "VETERINARNO STOCARSKI CENTAR"
MBK "MERKUR PRIVATBANK KGAA"
HP3 "RINGMETALL AG"
V6C "VISCOM AG"
WL6 "Generic 6th 'WL' Future"
DEF "DEFIANCE SILVER CORP"
CEA "FRIWO AG"
NUVA "NUVASIVE INC"
QB7 "QUIRIN PRIVATBANK AG"
H9W "HWA AG"
B7J "SRV GROUP OYJ"
M8G "MEDIA AND GAMES INVEST PLC"
CSQ "CANAMEX GOLD CORP"
PWO "PROGRESS-WERK OBERKIRCH AG"
B7E "BLUE CAP AG"
H9Y "HANSEYACHTS AG"
ERWE "ERWE IMMOBILIEN AG"
FPH "FIRST PHILIPPINE HLDGS"
MLL "MUELLER-DIE LILA LOGISTIK AG"
KWG "KHD HUMBOLDT WEDAG INTERNATI"
TTI "TRAFFIC TECHNOLOGIES LTD"
ALG "ALBIS LEASING AG"
ECX "EPIGENOMICS AG"
DR0 "DEUTSCHE ROHSTOFF AG"
SVE "STARVEST PLC"
PGN "PARAGON GMBH & CO KGAA"
BEZ "BERENTZEN-GRUPPE AG"
OBS "OBERBANK AG"
APM "APM INDUSTRIES LTD"
SYT "SOFTING AG"
CNWK "CO.DON AG"
SCE "SECOND CHANCE PROPERTIES LTD"
PZS "SCHERZER & CO AG"
DIE "DIERIG HOLDING AG"
M3V "MEVIS MEDICAL SOLUTIONS AG"
L1OA "LLOYD FONDS AG"
M4N "MUEHLHAN AG"
MPCK "MPC CAPITAL AG"
BNT1 "EYEMAXX REAL ESTATE AG"
N4G "NAGA GROUP AG/THE"
BWB "BAADER BANK AG"
HAE "HAEMONETICS CORP/MASS"
DLX "DELUXE CORP"
UUU "3U HOLDING AG"
FEV "FORTEC ELEKTRONIK AG"
V3V "VITA 34 AG"
IBU "TORGON UR JSC"
IVX "INVENTRONICS LTD"
AJ91 "DOCCHECK AG"
HPBK "HELIAD EQUITY PARTNERS GMBH"
GME "GME RESOURCES LTD"
MZX "MASTERFLEX SE"
EMH "E MEDIA HOLDINGS LTD"
N7G "NANOGATE AG"
S4A "SMT SCHARF AG"
MSAG "MS INDUSTRIE AG"
LUS "LANG & SCHWARZ AG"
GGS "GIGASET AG"
DEX "DELAWARE ENHANCED GLOBAL DIV"
EDL "EDEL SE & CO KGAA"
MAK "MATERNUS-KLINIKEN AG"
ACWN "AS CREATION TAPETEN AG"
SNG "SONAGI SA"
WBAH "WILD BUNCH AG"
GXP1 "GXP GERMAN PROPERTIES AG"
DAR "DARLING INGREDIENTS INC"
T3T1 "SEVEN PRINCIPLES AG"
KA8 "KLASSIK RADIO AG"
PAL "PAL HOLDINGS INC"
LSX "LS TELCOM AG"
TGT "11 88 0 SOLUTIONS AG"
TINC "TRIENA INVESTMENTS -INCOME"
VG8 "VARENGOLD BANK AG"
ISHA "INTERSHOP COMMUNICATIONS AG"
ESY "EASY SOFTWARE AG"
BST "BERJAYA SPORTS TOTO BHD"
RCMN "RCM BETEILIGUNGS AG"
WIG1 "SPORTTOTAL AG"
SF3 "Generic 3rd 'SF' Future"
K1R "KROMI LOGISTIK AG"
HXCK "ERNST RUSS AG"
CPX "CAPITAL POWER CORP"
E4C "ECOTEL COMMUNICATION AG"
IS7 "INTICA SYSTEMS AG"
T5O "CYTOTOOLS AG"
CORE "COREO AG"
IQL "IQ INTERNATIONAL AG"
CLIQ "CLIQ DIGITAL AG"
C1V "MVISE AG"
AMMN "GROUNDS REAL ESTATE DEV/THE"
ART "ASCOTT RESIDENCE TRUST"
DGR "DGR GLOBAL LTD"
SAV "SAVIMEX CORP"
1T2 "VST BUILDING TECHNOLOGIES AG"
NC5A "NORCOM INFORMATION TECHNOLOG"
ECF "ELLSWORTH GROWTH AND INCOME"
AAQ "AAP IMPLANTATE"
SHWK "SHS VIVEON AG"
RY8 "Generic 8th 'RY' Future"
LMI "LION E-MOBILITY AG"
SMWN "SM WIRTSCHAFTSBERATUNG AG"
GSJ "GRUPO EMPRESARIAL SAN JOSE"
MWB "MWB FAIRTRADE WERTPAPIERHAND"
IS8 "IFA SYSTEMS AG"
VROS "VARDAR OSIGURUVANE SKOPJE"
EFF "DEUTSCHE EFFECTEN- UND WECHS"
CEK "CEOTRONICS AG"
TUF "HONEY BADGER SILVER INC"
4DS "DALDRUP & SOEHNE AG"
99SC null
WDL "WINDELN.DE SE"
NIIN "NIIIO FINANCE GROUP AG"
CFC "CAFICO VIETNAM JSC"
FRS "FORIS AG"
DTD2 "B+S BANKSYSTEME AG"
DFTK "DF DEUTSCHE FORFAIT AG"
YOC "YOC AG"
ELB "ELEKTROBUDOWA SA"
MCE "MEDIQON GROUP AG"
O5H "OPENLIMIT HOLDING AG"
SFD1 "SOFTLINE AG"
ZSOL "SOLUTIANCE AG"
SD1 "SONG DA 1 JSC"
MBC "MANILA BROADCASTING CO"
ERO1 "TMC CONTENT GROUP AG"
ULC "UNITED LABELS AG"
A6T "ARTEC TECHNOLOGIES AG"
GTK "TONKENS AGRAR AG"
N2F "NANOFOCUS AG"
ITN "INTERTAINMENT AG"
NWAY null
SPM "SAIPEM SPA"
P4O "PLAN OPTIK AG"
NN6 "NANOREPRO AG"
RTC "REALTECH AG"
I7N "ITN NANOVATION AG"
UMDK "UMT UNITED MOBILITY TECHNOLO"
INW1 "GBS SOFTWARE AG"
FF24 "Generic 24th 'FF'Future"
TLI "TELES AG INFORMATIONSTECHNOL"
AU2 "AGRARIUS AG"
MA1 "Generic 1st 'MA' Future"
E8X "ELEXXION AG"
G6P "GOING PUBLIC MEDIA AG"
BTBB "SLEEPZ AG"
M3BK "MIC AG"
PDA "PRO DV AG"
EXJ "READCREST CAPITAL AG"
MGNK "MOLOGEN AG"
CURK null
ICP "ICP LTD"
HEN3 "HENKEL AG & CO KGAA VORZUG"
BMW3 "BAYERISCHE MOTOREN WERKE-PRF"
6D81 "DUPONT DE NEMOURS INC"
2X0 "CORTEVA INC"
PAH3 "PORSCHE AUTOMOBIL HLDG-PRF"
SRT3 "SARTORIUS AG-VORZUG"
0YU "YUM CHINA HOLDINGS INC"
8S0 "SLACK TECHNOLOGIES INC- CL A"
5EA "ELANCO ANIMAL HEALTH INC"
MAN3 "MAN SE-VORZUGSAKTIEN"
LV2B "LEVI STRAUSS & CO- CLASS A"
SHA "SON HA SAI GON JSC"
FPE3 "FUCHS PETROLUB SE-PREF"
U9RA "UNDER ARMOUR INC-CLASS C"
B4B3 "METRO AG-PREF"
SIX3 "SIXT SE - PRFD"
GTR "GUJARAT TOOLROOM LTD"
JUN3 "JUNGHEINRICH - PRFD"
BBDB "BOMBARDIER INC-B"
CEC1 "CECONOMY AG-VORZ"
DRW3 "DRAEGERWERK AG - PREF"
BIO3 "BIOTEST AG-VORZUGSAKTIEN"
ADLU null
0PP null
STO3 "STO SE & CO. KGAA-PREF SHRS"
G5N null
KSB3 "KSB SE & CO KGAA-VORZUG"
VIB3 "VILLEROY & BOCH AG-PREF"
GIH "GULF INVESTMENT HOUSE KSC"
4JMA "JUMIA TECHNOLOGIES AG-ADR"
EIN3 "EINHELL GERMANY AG-VORZUG"
VVV3 "OKOWORLD AG"
IPOK "HEIDELBERGER BETEILIGUNDSHOL"
BWQ "ADVANCED BLOCKCHAIN AG"
HHH "HSBC S&P 500 UCITS ETF"
VRL "VILLAGE ROADSHOW LTD"
M8H "MBH CORP PLC"
HRS "L3HARRIS TECHNOLOGIES INC"
EX9 "EXELIXIS INC"
AGJ "AGCO CORP"
HNM "ORMAT TECHNOLOGIES INC"
0HV "ENVISTA HOLDINGS CORP"
ISR1 "Generic 1st 'ISR' Future"
SDF1 "K+S AG-SPONSORED ADR"
RMB "RAMBUS INC"
FHL "FIJIAN HOLDINGS LIMITED-A"
MYD "BLACKROCK MUNIYIELD FUND"
F2P "GLU MOBILE INC"
G02 "Generic 2nd 'G0' Future"
WHT1 "Generic 1st 'WHT' Future"
YEL1 "YRC WORLDWIDE INC"
